"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"TRINITY_DN294779_c1_g3"	-4.68673448407355	14.7178380903856	13.0907410665781	0.000945333354798442	0.0157269094480105
"TRINITY_DN312006_c1_g5"	-11.7463670070872	8.46098021820425	13.1439878972805	0.000981428824757573	0.0161180810835186
"TRINITY_DN449830_c0_g1"	9.64201512531271	7.0634100616989	13.4686792551841	0.000999184116677419	0.0162019601704275
"TRINITY_DN295214_c0_g1"	9.50969965596346	10.3003291208374	12.8602224423467	0.00103339852785416	0.0165472939272648
"TRINITY_DN314831_c1_g5"	9.56381572770329	7.05921848089841	13.165434144118	0.00111491726133224	0.0176322100218099
"TRINITY_DN251134_c1_g1"	9.59518311814216	6.98803540985148	12.7423526331974	0.00130117562768491	0.0203269021837118
"TRINITY_DN314232_c4_g4"	-9.57218931035716	7.9360255377959	12.2916770464428	0.00135968785822501	0.0209850620046535
"TRINITY_DN316936_c6_g6"	-8.29430814221678	9.50964551939364	12.0770317111964	0.00140418159279881	0.0212718334644888
"TRINITY_DN2119_c0_g1"	9.51375893771288	6.96278293090691	12.5215586818011	0.00141147997227287	0.0212718334644888
"TRINITY_DN314258_c2_g2"	-6.9859950056391	10.0892385880524	11.9632140055277	0.0014689345145851	0.0218802920137618
"TRINITY_DN295214_c0_g2"	9.50419549697282	7.58109799109033	11.85305423032	0.00165657591658212	0.024391652288985
"TRINITY_DN296218_c0_g2"	-5.28765150081529	10.7817801017035	11.6289370452667	0.00167822498917562	0.0244296160356134
"TRINITY_DN66609_c0_g1"	8.71610032066218	6.79918494152493	11.979943608618	0.00172715925085706	0.0248594494421111
"TRINITY_DN278965_c0_g1"	10.9313128761831	7.31889238631853	11.7808091103389	0.00186172779960029	0.0264985923476441
"TRINITY_DN52678_c0_g1"	8.72647246977212	6.92422649490071	11.4480821886453	0.00211249979887415	0.0297374971687668
"TRINITY_DN314627_c5_g1"	-6.39975004720431	10.3170847117674	11.0161976051218	0.00214910476402155	0.0299239478555609
"TRINITY_DN295087_c0_g1"	10.7047761430515	7.2603045744019	11.0826953603059	0.00243057669802127	0.0334792338727446
"TRINITY_DN227396_c0_g1"	-9.7664774533867	7.10008947374902	10.957230762708	0.00248087985975406	0.0338085861738825
"TRINITY_DN22073_c0_g1"	7.73324697346029	6.63098306549639	10.8068680694717	0.00270489721506539	0.0364734034999869
"TRINITY_DN54630_c0_g1"	7.21440084686675	6.55812137961235	10.5723315623635	0.00296454558718931	0.0394555136006746
"TRINITY_DN310763_c1_g1"	9.37523969889959	6.93898091973027	10.552543407394	0.00298765403533602	0.0394555136006746
"TRINITY_DN259150_c0_g1"	-9.07236163731806	7.23133622674612	10.3871977809306	0.00310698100257904	0.0406126802479974
"TRINITY_DN54639_c0_g1"	7.57752756135405	6.64437245788082	10.2232472640337	0.00340221729549867	0.0440226298538768
"TRINITY_DN277209_c0_g1"	8.61915179178716	7.60607410584142	9.84768012373414	0.00369288864566081	0.0473059035509149
"TRINITY_DN256574_c0_g1"	8.57671687908403	7.12727630325504	9.80872517552908	0.0040147947633337	0.0509203177408958
"TRINITY_DN227313_c0_g1"	8.253877206216	6.84305946863098	9.72144153712534	0.00415842661565947	0.0522249460260763
"TRINITY_DN274697_c0_g1"	8.84450582143675	6.83599204684426	9.58447488397457	0.0043951543795537	0.0546620656330902
"TRINITY_DN295274_c0_g1"	8.72936785231802	6.80871797336146	9.4906208168749	0.00456577708051317	0.0561752430305015
"TRINITY_DN659232_c0_g1"	-7.51980539850122	6.65601032489615	9.40260472334245	0.00462780553297493	0.0561752430305015
"TRINITY_DN311742_c0_g3"	7.56169852774445	6.67501302726438	9.44653900454163	0.00464838076598998	0.0561752430305015
"TRINITY_DN317251_c1_g2"	-4.03811472503876	14.5221397679267	9.06875935438041	0.00485679520714064	0.05814537065745
"TRINITY_DN256641_c0_g1"	6.59043365252152	9.58366988142029	9.01098155043618	0.00497936283237713	0.0590607758173621
"TRINITY_DN316994_c3_g1"	-3.83835160533597	12.6737702713353	8.86033292211818	0.00531481547933846	0.0624612718259869
"TRINITY_DN172942_c0_g1"	8.64756475437752	6.86640027927219	9.08115493915468	0.00539883269230235	0.0624794635446925
"TRINITY_DN271552_c0_g1"	8.3405902999925	6.77986266936587	9.07438932310535	0.00541391136101551	0.0624794635446925
"TRINITY_DN220175_c0_g1"	6.39432450929384	6.47231968985403	8.92308716758246	0.00576333752153586	0.0659181729025664
