GeneID	S_10B	S_9A	S_13A	S_42A	S_46B	S_47B	S_48B	S_2A	S_2B	S_7B	S_8B	S_33A	S_36B	S_38A	S_40A
TRINITY_DN277252_c0_g1	1.060434796	1.060434796	3.970485375	1.060434796	3.084074812	5.044180074	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796
TRINITY_DN277254_c0_g1	1.060434796	1.060434796	1.060434796	3.284487825	1.060434796	1.060434796	1.993143853	3.932364121	1.060434796	1.469830349	1.060434796	1.775037812	3.809008751	1.060434796	1.060434796
TRINITY_DN277290_c0_g1	1.060434796	1.498523235	1.060434796	4.121188237	2.076237769	1.060434796	1.060434796	1.74026046	1.060434796	1.469830349	1.060434796	1.775037812	2.160810364	1.060434796	1.695418181
TRINITY_DN277292_c0_g1	8.819176065	6.607953581	8.615906476	6.943524098	4.548471565	7.314778782	7.333652104	10.33679567	9.997261797	9.886405982	10.19672025	9.52103532	8.65730295	10.13082539	9.951769902
TRINITY_DN277294_c1_g1	1.060434796	1.498523235	1.060434796	1.854878329	2.401305792	3.29468633	1.060434796	2.548866764	1.060434796	1.469830349	1.060434796	3.132594796	2.777737248	1.555100532	1.060434796
TRINITY_DN277295_c0_g1	1.060434796	1.060434796	1.060434796	3.495116278	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.628546064	2.607931407	2.936049104	1.060434796	2.471188131
TRINITY_DN277296_c0_g1	1.833703142	2.334983987	3.300346991	3.841850346	4.175669505	1.060434796	2.958283586	3.356936274	1.060434796	2.461325844	2.035083556	2.250773536	3.078693901	1.922777888	1.695418181
TRINITY_DN277322_c0_g2	1.833703142	2.706066443	4.426296375	4.732920354	4.674238457	3.903475717	4.395084639	4.100161726	1.88581625	3.364230448	2.831435791	2.607931407	3.888638504	3.15533094	1.060434796
TRINITY_DN277323_c0_g1	1.060434796	2.334983987	1.060434796	1.060434796	4.897001672	1.060434796	1.060434796	1.060434796	1.060434796	2.461325844	1.060434796	1.060434796	2.936049104	1.060434796	1.695418181
TRINITY_DN277324_c0_g1	2.334412939	2.106174159	4.289759238	4.121188237	4.897001672	2.220749492	3.940532401	3.442721102	2.407537437	3.265020575	3.022238902	1.775037812	4.697471159	1.922777888	1.695418181
TRINITY_DN277371_c0_g1	11.71711661	9.983206361	11.53655102	9.737558893	10.20425284	11.11289152	11.2423454	1.060434796	1.060434796	1.469830349	2.831435791	1.775037812	1.878251772	2.458772604	1.060434796
TRINITY_DN277373_c0_g1	1.060434796	1.060434796	2.983683776	1.060434796	4.48122249	5.876592038	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796
TRINITY_DN277374_c0_g1	1.060434796	2.334983987	3.559860772	5.032039526	4.41068478	4.504106961	4.634086158	3.932364121	1.531363875	3.364230448	3.190729635	1.775037812	3.63521168	3.519587523	1.060434796
